ID,Egg,1st instar,2nd instar,3rd instar,4th instar,Prepupa,Pupa,Adult,gender,,,,,,,
1,2,2,3,1,2,,,,N,,,,,,,
2,2,1,3,2,2,1,2,6,F,100,70,35,25,2,0,
3,2,2,2,1,1,1,3,7,F,103,74,43,33,10,1,0
4,2,2,2,1,2,1,2,2,F,59,9,,,,,
5,2,2,2,1,2,1,5,6,M,,,,,,,
6,2,1,3,1,2,1,4,6,F,106,55,42,17,6,0,
7,2,1,3,2,3,1,3,5,F,87,66,33,12,4,,
8,2,2,2,1,2,1,2,5,F,105,50,24,25,13,,
9,2,2,2,1,2,1,2,8,M,,,,,,,
10,2,1,2,1,1,1,2,4,F,85,60,30,8,,,
11,2,2,2,2,2,1,2,9,M,,,,,,,
12,2,2,2,2,,,,,N,,,,,,,
13,2,2,2,1,2,1,4,7,M,,,,,,,
14,1,1,2,1,2,1,3,6,M,,,,,,,
15,2,2,2,2,2,1,2,7,M,,,,,,,
16,2,2,2,1,2,1,4,5,F,94,63,30,22,2,,
17,2,1,2,1,1,1,3,5,F,100,50,25,8,0,,
18,2,1,2,1,1,1,3,4,M,,,,,,,
19,2,2,2,2,3,1,3,5,F,112,52,25,12,0,,
20,2,2,2,1,1,1,4,5,F,77,45,16,18,5,,
21,2,2,2,1,6,,,,N,,,,,,,
22,2,1,2,1,2,1,3,5,M,,,,,,,
23,2,2,2,1,3,1,2,4,M,,,,,,,
24,2,2,2,1,2,1,3,6,M,,,,,,,
